,text,favorite_count,retweet_count,country,sentiment
65,".@WeAreRefuSHE's Girls Empowerment Programme teaches refugee women and girls textile skills, from hand and machine stitching to tie-dye, helping them to earn an independent income.HRH saw some of the girls' beautiful handmade products on display. https://t.co/Yb2bZ96Hga",687,92,United Kingdom,0.8519
66,"I shared this late yesterday but it didn't hit a big enough audience, if you are Welsh or have Welsh connections please retweet. This affects us all!  Politicians Call for Wales to Be Transformed Into World's First Migrant 'Sanctuary' https://t.co/7Vf5IdELZM via @BreitbartNews",684,1123,United Kingdom,0.6049
67,A beautiful story! Joseph Gnabo didn't even know Wales had its own language when he arrived here in 2018 as an asylum seeker from the Ivory Coast. Now Joseph not only now speaks fluent Welsh but teaches it in Cardiff where he now lives https://t.co/d3wgmsURYN,673,175,United Kingdom,0.4102
68,25.9 million people fled across borders last yearHalf of these were childrenOne country has generously welcomed more refugees than almost all others in the world - here's why THREAD https://t.co/A63RrzzRPi,660,263,United Kingdom,0.6369
69,The #Labour party has utterly abandoned any claim to represent ordinary people in this country. A party that supports mass immigration to depress wages and expand its migrant voter base.Bring on a General Election! #GeneralElection2019 https://t.co/NaplyDs7Ef,656,169,United Kingdom,0.4587
70,Germany To Strip Asylum Status of 'Refugees' Who Go Home on Holiday https://t.co/WCuY9eFdbt via @BreitbartNews Been going on for years! Better late than never..,636,347,United Kingdom,0.7088
71,"Look out for the new book A Game Of Two Halves. Me &amp; Pep Guardiola In conversation in aid of UNHCR, the refugee charity dedicated to protecting forcibly displaced people around the world. @amy_raphael @PepGuardiola01 @GaryLineker @IanWright0 @NoisyPod @RomeshRanga @rioferdy5 https://t.co/xwnRRbBQUm",634,140,United Kingdom,0.7003
72,This new approach would mean the EU could force Member States to accept migrants from other countries within the block with no say. Effectively trying to completely remove borders from within the EU. We have to make sure we get out NOW.  https://t.co/rro6WckDX2,634,385,United Kingdom,0.4019
73,"OH MY GOD WE FUCKING DID IT THE LABOUR PARTY HAS VOTED TO EXTEND FREE MOVEMENT, END NO RECOURSE TO PUBLIC FUNDS, REUNITE FAMILIES, CLOSE EVERY SINGLE DETENTION CENTRE, CONSIGN THE HOSTILE ENVIRONMENT TO THE DUSTBIN OF HISTORY, AND GIVE MIGRANTS THE EQUAL RIGHT TO VOTE #LAB19",622,102,United Kingdom,0.3612
74,"Imagine the absolute shite these two will talk. Five things we can be sure they will agree on:- 1- Blame migrants; 2- Deny climate change;3- Continue the sale of the NHS;4- Lower food standards; 5- Protect the elite, their mates. #JC4PM https://t.co/xbVZDa8LEF",616,403,United Kingdom,0.1027
75,"Happy birthday to #FreddieMercury!As a refugee and lead singer of @QueenWillRock, @Freddie_Mercury became one of the world's greatest musicians.If given the opportunity to reach their potential, refugees thrive.Today and every day, retweet if you #StandWithRefugees. https://t.co/CKTkwk5auF",605,258,United Kingdom,0.902
76,"David Bailey told me I had an interesting face ""like a Polish war refugee"". I told him he could take a picture if he liked and he said it wasn't that interesting. https://t.co/f2cQj0Em7H",570,22,United Kingdom,0.7003
77,Mosney Direct Provison camp has been in my small rural parish of Julianstown for near on 20 years and locals have never had a problem with residents. Julianstown has one shop and one pub and barely little else. Now all of a sudden rural parishes can't handle refugees? #RTEPT,570,146,United Kingdom,0.3089
78,Actor Richard Gere helped bring food and supplies to the migrant rescue ship which has been stranded in the Mediterranean Sea for eight days https://t.co/qScx774ZxE,559,126,United Kingdom,0.5106
79,"Finally bit the bullet &amp; joined @ScotTories My past as a refugee shows how divisive nationalism can be &amp; I want to be part of a party that focusses on bringing communities together, not dividing them. https://t.co/bPJfldrmzz",554,88,United Kingdom,0.4588
80,"I am the daughter of #immigrants who have worked their fingers to the boneI am the grandaughter of #refugees who started from scratch (might I add due to #British Colonialism)And I am a #GP looking after a patch serving 17,500 patientsWe [?]the #NHS &amp; keep it alive! https://t.co/oIDf4yipgP",547,148,United Kingdom,0.4389
81,"So, we are housing migrants in shipping containers. I think that's quite a brilliant idea. Lock the doors and put them back on ships then ship them back home. Simples  Job done ",531,162,United Kingdom,0.624
82,"Former Australian PM @JuliaGillard explains why an ""Australian points-based system"" designed to attract migrants may not be an entirely easy fit for a country that wishes to use it to reduce immigration. Fascinating insight. Were you watching @patel4witham? #PoliticsLive https://t.co/mjXLauiCpN",528,300,United Kingdom,0.9113
83,Boris Johnson warns migrants not to try and cross the Channel because 'We'll send you back.'Jeremy Corbyn calls for Europe to provide greater support for migrants 'who are human beings just like us.'I know which of the two I want as the leader of our country. #JC4PM2019,523,200,United Kingdom,0.765
84,"Home Office tonight says *both* extending free movement until 2021 and requiring EU migrants to apply for leave to remain have been rejectedPriti Patel is looking at a new, undisclosed system for ending free movement on Oct 31",514,437,United Kingdom,0.4767
85,"I see Priti Patel is advocating a minimum salary of PS36,000 for any migrant to the UK. This seems fair as it applied to BOTH EU and Non-EU migrants.",503,116,United Kingdom,0.3182
86,"Comhghairdeas! Congrats Aisha Alnajjar who got fab A Level results with help of life-changing QUB Widening Participation prog. She lost her dad in  Syrian war, left a refugee camp in Jordan with her mum &amp; bros in late 2015. Will study biochemistry at @QUBelfast. Thnx VC Ian Greer https://t.co/UnBgVWF8su",502,69,United Kingdom,0.4926
87,Refugee rescuers to be fined up to EUR1m under new Italian law promoted by far-right Salvini | The IndependentNGO'S and Traffickers to blame for any deaths NOT Salvini!  https://t.co/023xitOMBU,502,216,United Kingdom,0.1759
88,"The magnificent sight of a huge flock migrant Barnacle Geese at Scatness, #Shetland this morning. @RareBirdAlertUK @BirdTrack @ScottishBirding @BirdWatchingMag @NLFerries @PromoteShetland https://t.co/mhf0W46gh9",501,66,United Kingdom,0.7351
89,"Instead of a garden tax why don't we reclaim the money given to migrants as benefits. Treat it as a  loan and automatically deduct it from their wages when they find a job. This would work exactly the same as student loans. What makes sense for one, makes sense for the other.",499,179,United Kingdom,0.6486
90,"107 Migrants making the perilous journey from France. That's 107 now arriving on average each day.  107 people needing food, clothing, housing, access to doctors &amp; medication. Yes &amp; money. Meanwhile ex servicemen &amp; vulnerable children are on the streets. British money for Britons",497,308,United Kingdom,0.2023
91,Uplifting evening as local communities welcome a Syrian refugee family to Camden #CommunitySponsorship https://t.co/tJyJqpwvK6,485,61,United Kingdom,0.4588
92,Jo Swinson turned her back on studentsShe turned her back on disabled peopleShe turned he back on peaceShe turned her back on forestsShe turned her back on refugeesShe turned her back on the LGBT communityShe turned her back on democracyJo Swinson turned Big Brother on us.,482,294,United Kingdom,0.5423
93,Very happy to announce I have completed my Master's degree in Public Policy at @BristolUni. My thesis focused on European Union migrant and refugee policy. Hopefully one day I can put my research into practice! https://t.co/vM5nmlwVhv,480,43,United Kingdom,0.862
94,"Richard Gere joins migrants on rescue ship in Med https://t.co/M5moEJkK3t FFS, is there no end to the interference of these rich celebrities??? If you want to help, donate your fortunes to train these ppl to improve homelands, not encourage ppl trafficking. Enough is enough",477,219,United Kingdom,0.6
95,Heaven forbid. A plague on Trump for denying migrant children every dignity. https://t.co/8sjod8nqIr,473,79,United Kingdom,0.3182
96,Macron Looking for Deal to Land NGO Ship Filled with Migrants in France... Yeah can Britain just leave the EU now please! https://t.co/xoExSN7aop,472,451,United Kingdom,0.5562
97,While migrants get free housing a homeless Brit dies every 19 hours in the UKhttps://t.co/ATpcl3JVBL https://t.co/i8r5UOscLL,469,342,United Kingdom,0.5106
98,"Well, tell my Indian and Bangladeshi *FAMILY* that the existence of freedom of movement doesn't legally prevent the UK government from making it easier for non-EU migrants to move here. It's the racism of the state that's the problem, not rights for EU migrants. https://t.co/83dHL135aS",464,51,United Kingdom,0.2335
99,The next person who tells me there's peace in Europe!!! There's not!! There unrest on the streets of Europe from Sweden to France to Italy. I remember there was a Yugoslavia and now there isn't. The place is littered with unruly economic migrants who don't hold our values,463,247,United Kingdom,0.5283
100,"Q: If Brits moving abroad for work are expats, why are visiting fruit pickers in the UK called migrants?If the word 'expat' refers to wealthy emigrants only, then what's the cut-off point? ~PM",462,105,United Kingdom,0.4329
101,"I see that @BBCCountryfile is pushing the idea that ""Syrian Refugees"" should be forced in equal measure across all parts of the UK. Truly mendacious, even seeking to equate it to WW2 evacuees. Truly deplorable",452,151,United Kingdom,0.4215
102,Please remember this the next time you see a first generation migrant in a minimum wage job. The last person to serve you a kebab was multilingual. https://t.co/Ow2fi46y7t,451,92,United Kingdom,0.3182
103,"Ireland, along with five other EU countries, will take some of the migrants stranded on the rescue ship Ocean Viking https://t.co/S8h1rW59WW",447,55,United Kingdom,0.5106
104,"""I came here as a refugee. I now feel part of the society and my children are doing really well. Now let's control the borders and limit others' opportunities!"" https://t.co/4vrhQm04Hr",441,126,United Kingdom,0.3989
105,"@SusanSarandon @TulsiGabbard The sort of 'left' that only believe in justice when it's at home. Just please have the decency to stop pretending to care. You say you support refugees and here you are boosting the ""democrat"" who voted against refugee rights.",437,39,United Kingdom,0.9042
106,Thanks United Nation for recognizing Pakistan as a country who always host huge no of refugees.Pl correct your record through your good offices. Pakistan is also hosting 100000 Kashmiri  refugees since 1989. It's right now on agenda as well.#UNforKashmirFreedom https://t.co/ijhOFXuO4o,435,181,United Kingdom,0.8689
107,"Uganda is home to around 1.3m refugees - that's the largest number of refugees in any country in Africa, and the third largest in the worldHere's a look at life in Bidibidi, where locals and refugees work side by side#TheDisplaced[Tap to expand] https://t.co/cGkt0WGVsy https://t.co/f4O1rNZiEy",434,197,United Kingdom,0.0772
108,"In the UK, as in the US, left wing political parties now demand Open Borders so that as many low value migrants dependent on State Welfare can pour in - giving them an expanding voter base. That is why we MUST demand the borders are closed. It's about National survival.",432,154,United Kingdom,0.5267
109,"@margotwallstrom Please follow the totality of Kashmir's population. Including the 500,000 Kashmir Pandits ethnically cleansed out of the Kashmir valley in 1990. Without them back home (from the refugee camps), Kashmir will never be complete.",429,58,United Kingdom,0.3182
110,"Do these bloviating butttplugs still have ties to Loyalist Paramilitaries, or is it just these three arseholes that 'patrol'? Where's Pauline Golding's Nazi uniform?Far right Britain First patrolling beaches to 'catch migrants' https://t.co/BaYkop46St",427,187,United Kingdom,0.4329
111,Today I had a teenage Eritrean refugee tell me he wants to leave London because every day he is stopped by the police and searched. He has asked his social worker to be moved to a different part of the UK. How is he supposed to feel welcome here when he's treated this way?,427,134,United Kingdom,0.2263
112,A Game Of Two Halves book in aid of the refugee charity UHNCR is now available on Amazon @amy_raphael https://t.co/1LHCmcHUu9 https://t.co/wjdE2wAVLK,425,96,United Kingdom,0.5423
113,"Hindu, Buddhist, Sikh, Jain Refugees Won't Leave India, They Will Get Citizenship: Amit Shah In Bengal  https://t.co/FCldwcUS9A",425,142,United Kingdom,0.0382
114,"Lovely views of this migrant Wood Warbler at Quendale, #Shetland this evening. https://t.co/P2vkyXeD6P",423,59,United Kingdom,0.5859
115,Descendants of Jesus and Mary Magdelene.Having Links to the family line of Prophet Muhammad.Descendants of Lord Ram.Blah BlahThe only real and true indigenous people of India are the Adivasis of central &amp; South India. Rest all are migrants who came thousands of years ago. https://t.co/6QXEewVpmo,416,115,United Kingdom,0.25
116,Polls on the BBC now asking if we think multiculturalism is a success in Britain. For god sake this word multiculturalism is being thrown around like a Rugby Ball. All this word means to me is a load of Foreigners and migrants robbing our country blind. Britain for British. ,410,177,United Kingdom,0.6808
117,"Welcome news. This will give Lily more time to bring migrants into her house, as she once promised.https://t.co/jbBwbc0q0s",409,82,United Kingdom,0.6705
118,WOW!What an honor to be recognized by the Duke &amp; Duchess of Sussex @RoyalFamily for our tireless efforts at https://t.co/Jy7q5ct5Qd where we believe that war-torn children &amp; #refugees deserve #MentalHealth &amp; Psychosocial support as they go through their journey.#ForcesForChange https://t.co/KNcVfwq7xP,405,99,United Kingdom,0.7345
119,There are no Muslim refugees .....There are only refugees !!! Stop judging refugees by their faith !! They are human beings .. just like us &amp; deserve unconditional support. #Refugees #Syrian https://t.co/CRiYBztjAJ,394,82,United Kingdom,0.6973
120,"Useful idiot and bulldog-chewing-wasp featured musical wailer @lilyallen said she would be happy take in some refugees, so see how she feels when she return home and find three African Pusslims has moved into her house https://t.co/5lib7k3r21",387,90,United Kingdom,0.5106
121,"Asylum is usually the only option left for economic migrants like Gulalai, who lie through their teeth in order to get their asylum claims accepted. https://t.co/s007t1aNQ4",386,84,United Kingdom,0.5574
122,DIDN'T EXPECT TO SEE THIS PASSAGE MIGRANT APPEAR IN NORFOLK TODAY! THANKS TO THE LOVELY LADT AND HER HOSPITALITY FOR THESE PRIVILEGED VIEWS RIGHT IN HER BACK GARDEN TONIGHT.HOOPOE (UPUPA EPOPS)NORFOLK.@rbnUK @Natures_Voice @RSPBbirders @RSPBNorfolkLinc #birding #hoopoe https://t.co/cgDBRLXXlP,381,43,United Kingdom,0.92
123,This week we've had-Lidl statement in support of a multiracial family in their ads-Josh Pray say he won't be posting about GAA for a while because of negative messages-Noel Grealish TD claiming the only genuine refugees in Ireland are ChristianAnd it's only Thursday morning,381,72,United Kingdom,0.0772
124,@BeckyRLH @stevefleischer @RNLI I miss the kind compassionate country that welcomed my dad here as a 7 year old refugee from Nazi Germany in 1939. We used to be so much better than the vile comments the @RNLI have had hurled at them thanks to the Daily Fail.,378,22,United Kingdom,0.7076
125,Congratulations to @ProfCCostello who has been awarded the title of full professor in @UniofOxford's 2019 Recognition of Distinction Awards. She is now the Andrew W Mellon Professor of Refugee and Migration Law https://t.co/sByf3jrIb3,375,105,United Kingdom,0.8625
126,"Ocean Vuong, the award-winning poet who came to the US with his family aged two as a refugee from Vietnam, is one of seven writers to be awarded a so-called ""genius grant"" of $625,000 (PS504,000) by the MacArthur Foundation.https://t.co/gyny3V3KTk",373,105,United Kingdom,0.6369
127,Identity crisis is the default setting in liberal multicultural societies. It's the norm. It's the everyday. It doesn't just apply to migrants but to everyone. Because it necessarily involves the dissolution of the core culture and the uprooting of all stable forms of identity. https://t.co/n5iW1lXIAJ,370,87,United Kingdom,0.0644
128,"Proud of this one star review for Letters From the Lighthouse. ...."" thinly veiled snowflake bleating about refugees and asylum seekers"" ....If the story's got up some bigot's nose, my work is done. https://t.co/eQuI8zHWLp",369,13,United Kingdom,0.4767
129,"Sounds like the Home Office could do with a bit of Bible study of their own about how we should treat refugees, but I'm very happy to explain being Christian and gay. This story is truly awful &gt;&gt;&gt; https://t.co/l6TJsMIBM5",367,93,United Kingdom,0.8376
130,Outstanding.Yam and her family fled Iraq after surviving a car bomb attack.Now - as an asylum seeker in Liverpool - she has secured A Levels she needs to study to be a surgeon.Imagine not wanting to offer these chances in our country?https://t.co/VTCEh3dCyP,366,72,United Kingdom,0.5267
131,My best effort at a flying Southern Migrant Hawker at Canvey yesterday. Thanks to Karl Price for a great morning  https://t.co/8re1L3rg5V,362,35,United Kingdom,0.9042
132,"Scarlett and Alejandro went back to Chile. Could anyone help me translate this into Spanish?""I'm looking for Scarlett and Alejandro, two Chilean refugees who, with their late mother Sylvia, stayed with my parents in Sheffield the 1970s, then went back to Chile. Please help!""",362,134,United Kingdom,0.6476
